symbol,company,industry,exchange,trading_volume_and_chartered_capital
XMC,CTCP Đầu tư và Xây dựng Xuân Mai,Bất động sản,UPCoM,67364339
XMD,CTCP Xuân Mai - Đạo Tú,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,4000000
XMP,CTCP Thủy điện Xuân Minh,"Phát, truyền tải và phân phối điện năng",UPCoM,15000000
XPH,CTCP Xà phòng Hà Nội,"Sản xuất hóa chất, dược phẩm",UPCoM,12972475
YBC,CTCP Xi măng và Khoáng sản Yên Bái,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,11800000
YBM,CTCP Khoáng sản Công nghiệp Yên Bái,Sản xuất sản phẩm khoáng chất phi kim,HOSE,14299880
YEG,CTCP Tập đoàn Yeah1,"Quảng cáo, quan hệ công chúng và dịch vụ liên quan",HOSE,76279968
YTC,CTCP Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh,Bán buôn hàng tiêu dùng,UPCoM,3080000
126IBC,CTCP Đầu tư Kinh doanh và Xây dựng 126,"Xây dựng nhà cửa, cao ốc",OTC,0
3TAudit,Công ty TNHH Dịch vụ Tài chính - Kế toán và Kiểm toán 3T,Dịch vụ pháp lý,Khác,0
AA,Công ty TNHH Kiểm toán Mỹ,Dịch vụ pháp lý,Khác,0
AAAA,CTCP Bảo hiểm AAA,Bảo hiểm và các hoạt động liên quan,OTC,0
AAAT,"Công ty TNHH Dịch vụ Kiểm toán, Kế toán và Tư vấn Thuế AAT",Dịch vụ pháp lý,Khác,0
AAC,Công ty TNHH Kiểm toán và Kế toán AAC,Dịch vụ pháp lý,Khác,0
AACA,Công ty TNHH Tư vấn và Kiểm toán Á Châu,Dịch vụ pháp lý,Khác,0
AACC,Công ty TNHH Kế toán Kiểm toán Tư vấn Việt Nam,Dịch vụ pháp lý,Khác,0
AACVN,Công ty TNHH Kiểm toán - Tư vấn Định giá ACC Việt Nam,Dịch vụ pháp lý,Khác,0
AAFC,Công ty TNHH Tư vấn Tài chính Kế toán và Kiểm toán Việt Nam,Dịch vụ pháp lý,Khác,0
AASC,Công ty TNHH Hãng Kiểm toán AASC,Dịch vụ pháp lý,Khác,0
AASCN,Công ty TNHH Dịch vụ Tư vấn Tài chính Kinh tế và Kiểm toán Nam Việt,Dịch vụ pháp lý,Khác,0
AASCS,Công ty TNHH Dịch vụ Tư vấn Tài chính Kế toán và Kiểm toán Phía Nam,Dịch vụ pháp lý,Khác,0
AAUS,CTCP Chứng khoán Á - Âu,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,3500000
ABA,CTCP Giải pháp thương mại A BA,Hỗ trợ vận tải,Khác,0
ABBVietNam,Công ty TNHH Kiểm toán A.B.B Việt Nam,Dịch vụ pháp lý,Khác,0
ABFM,CTCP Quản lý Quỹ đầu tư Chứng khoán An Bình,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
AC4,CTCP ACC-244,Xây dựng công nghiệp nặng và dân dụng,OTC,2940862
ACAGroup,Công ty TNHH Kiểm toán và Tư vấn Tài chính,Dịch vụ pháp lý,Khác,0
ACBC,Công ty TNHH MTV Quản lý Quỹ ACB,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0
ACBS,Công ty TNHH Chứng khoán ACB,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,150000000
ACCCO,CTCP Tư vấn Kiến trúc và Xây dựng Thành phố Hồ Chí Minh,"Xây dựng nhà cửa, cao ốc",OTC,0
ACELife,Công ty TNHH Bảo hiểm Nhân thọ ACE,Bảo hiểm và các hoạt động liên quan,Khác,0
ACELifeFMC,Công ty TNHH MTV Quản lý Quỹ ACE LIFE,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0
ACGroup,Công ty TNHH Tư vấn và Kiểm toán Quốc tế,Dịch vụ pháp lý,Khác,0
ACHAU,CTCP Tơ tằm Á Châu,"Sản xuất sợi, vải",OTC,5000000
AChauAudit,Công ty TNHH Kiểm toán Quốc tế Á Châu,Dịch vụ pháp lý,Khác,0
Aclii,CTCP Cho thuê Tài chính II Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Thuê và cho thuê xe hơi,OTC,0
ACPA,Công ty TNHH Kiểm toán và Tư vấn Nexia ACPA,Dịch vụ pháp lý,Khác,0
ACSVN,CTCP ACS Việt Nam,"Nghệ thuật, vui chơi và giải trí",OTC,10800000
ACVietNam,Công ty TNHH Tài chính và Kiểm toán Việt Nam,Dịch vụ pháp lý,Khác,0
AEAAudit,Công ty TNHH Kiểm toán Đông Á,Dịch vụ pháp lý,Khác,0
AECS,CTCP Tư vấn Xây dựng và Dịch vụ Hàng Không,"Xây dựng nhà cửa, cao ốc",OTC,0
AFC,CTCP Nông Lâm nghiệp Bình Dương,Hoạt động hỗ trợ cho nông lâm nghiệp,OTC,10688363
AFCAudit,Công ty TNHH Kiểm toán AFC Việt Nam,Dịch vụ pháp lý,Khác,0
AFCC,Công ty TNHH Kiểm toán và Tư vấn Tài chính A.F.C.C,Dịch vụ pháp lý,Khác,0
AFCVietNam,Công ty TNHH Kiểm toán và Tư vấn Tài chính Kế toán Việt Nam,Dịch vụ pháp lý,Khác,0
AFCVietnamFund,Quỹ AFC Vietnam Fund,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0
AFPAudit,Công ty TNHH Kiểm toán và Tư vấn AFP,Dịch vụ pháp lý,Khác,0
AFVI,Công ty TNHH Kiểm toán Tư vấn Tài chính và Đầu tư Việt Nam,Dịch vụ pháp lý,Khác,0
AGC,CTCP Cà phê An Giang,Sản xuất thực phẩm,OTC,8300000
AGD,CTCP Gò Đàng,Sản xuất thực phẩm,OTC,11999930
AGE,CTCP Môi trường Đô thị An Giang,Dịch vụ quản lý và tái chế chất thải,OTC,19893000
Agribank,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Trung gian tín dụng và các hoạt động liên quan,Khác,0
AGRIMECO,Tổng Công ty Cơ điện Xây dựng - CTCP,Xây dựng công nghiệp nặng và dân dụng,OTC,0
AgrimexcoCaMau,CTCP Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,Bán buôn hàng tiêu dùng,OTC,5000000
AGRITOUR,CTCP Du lịch Thương mại Nông nghiệp Việt Nam,Chăn nuôi,OTC,0
AGROMAS,CTCP Cơ điện Nông Nghiệp và Thủy Lợi II,Sản xuất sản phẩm khoáng chất phi kim,OTC,0
